"","Species","Trait","Parameter","Estimate","SE","t","p","R2"
"42","turdus","tarsus_length_mm","dist_bird_m",1.08650572055053,0.780695951621276,1.39171430093134,0.16633209575637,0.99897469207168
"43","turdus","tarsus_length_mm","angle_degrees",0.758148653992982,0.0633648238176704,11.964819095442,7.55435106955779e-23,0.99897469207168
"44","turdus","tarsus_length_mm","angle_height",0.188934813025131,0.171367934238225,1.10250971901479,0.272231158512788,0.99897469207168
"45","turdus","body_length_mm","(Intercept)",20.2321768387923,3.81789358242061,5.29930350388781,4.41467108923802e-07,0.999036643930239
"46","turdus","body_length_mm","dist_bird_m",-3.17466151662313,0.582171652107946,-5.45313655367488,2.17582316642895e-07,0.999036643930239
"47","turdus","body_length_mm","angle_degrees",0.909999493167787,0.0511553384993298,17.7889448073872,9.50537868454322e-38,0.999036643930239
"48","turdus","body_length_mm","angle_height",0.0382350353560641,0.116054609432758,0.32945727483765,0.742302471406377,0.999036643930239
"49","colaptes","bill_length_mm","(Intercept)",16.3033654351208,4.03765012478109,4.03783510984739,8.84702118957014e-05,0.997735934443653
"50","colaptes","bill_length_mm","dist_bird_m",-1.45923657565123,0.620638270007353,-2.35118690897669,0.0201083588547691,0.997735934443653
"51","colaptes","bill_length_mm","angle_degrees",0.482318257728904,0.0473277088212367,10.1910333236432,1.37687992139451e-18,0.997735934443653
"52","colaptes","bill_length_mm","angle_height",-0.17652245387841,0.117316715089787,-1.50466584189057,0.134662720284717,0.997735934443653
"53","colaptes","wing_length_mm","(Intercept)",22.8908467521267,2.66785683624932,8.58023805516804,1.61341671202426e-14,0.999327488023664
"54","colaptes","wing_length_mm","dist_bird_m",-3.05347842021014,0.412679040678693,-7.39916041092946,1.153642372076e-11,0.999327488023664
"55","colaptes","wing_length_mm","angle_degrees",1.08888229087458,0.0564464074963476,19.2905507927149,2.94390741181814e-41,0.999327488023664
"56","colaptes","wing_length_mm","angle_height",0.0314356252521489,0.0780070320804667,0.402984505547167,0.687574353197127,0.999327488023664
"57","colaptes","tarsus_length_mm","(Intercept)",-52.8591711031971,10.1493034080072,-5.2081575432551,1.19804435418911e-06,0.99889002128276
"58","colaptes","tarsus_length_mm","dist_bird_m",-2.49004650372514,1.0368205061213,-2.40161772363116,0.018378830136551,0.99889002128276
"59","colaptes","tarsus_length_mm","angle_degrees",2.30234052359426,0.144295380333125,15.9557465961766,5.62624657646741e-28,0.99889002128276
"60","colaptes","tarsus_length_mm","angle_height",-0.442602401816771,0.195792770874515,-2.26056559616513,0.0261974446540298,0.99889002128276
"61","colaptes","body_length_mm","(Intercept)",11.0546585156904,3.13834682169851,3.52244641645675,0.000578977695901195,0.998594466997842
"62","colaptes","body_length_mm","dist_bird_m",-0.422629541434202,0.484690340273953,-0.871957838473377,0.384735018795313,0.998594466997842
"63","colaptes","body_length_mm","angle_degrees",0.603558914783362,0.0524583158671943,11.5054954549314,6.14641229757141e-22,0.998594466997842
"64","colaptes","body_length_mm","angle_height",0.131340043359039,0.0919733596333146,1.42802267833505,0.155528303335421,0.998594466997842
